Publication_Number,Title,Abstract,Inventors,Publication_Date,PDF_Link,resource
US20230054446A1,"Systems and methods for functionally separating geospatial information for lawful and trustworthy analytics, artificial intelligence and machine learning","Various systems, computer-readable media, and computer-implemented methods of providing improved data privacy, anonymity and security by enabling subjects to which data pertains to remain “dynamically anonymous,” i.e., anonymous for as long as is desired—and to the extent that is desired—are disclosed herein. Embodiments include systems that create, access, use, store and/or erase data with increased privacy, anonymity, and security—thereby facilitating the availability of more qualified and accurate information. When personal data is authorized by data subjects to be shared with third parties, embodiments described herein may facilitate the sharing of information in a dynamically-controlled manner that also enables the delivery of temporally-, geographically-, and/or purpose-limited information to the receiving party. In one example, the disclosed techniques may be used to functionally separate geospatial information, such that it remains “dynamically anonymous,” i.e., anonymous for as long as is desired—and to the extent or degree that is desired.",Ted N. Myerson,2023-02-23,https://patentimages.storage.googleapis.com/c4/01/9b/e55ebef6976b2d/US20230054446A1.pdf,google patents
US20080050347A1,Stem cell therapy for cardiac valvular dysfunction,"Disclosed are methods, compounds and compositions useful for treatment of a patient with valvular dysfunction. The invention relates to using stem cells, modified stem cells, derivatives thereof, and agents stimulatory to stem cells in order to substantially ameliorate, and in some cases induce a therapeutic benefit, to a patient suffering from a dysfunction of the mitral, aortic, tricuspid, or pulmonary valve. In some embodiments the invention treats the valve dysfunction itself, whereas in other embodiments treatment of associated cardiac structures is performed. Furthermore, in other embodiments the invention permits physiological compensation for the valve dysfunction, prolonging the time until surgical intervention is needed.",,2008-02-28,https://patentimages.storage.googleapis.com/e4/cb/09/ef1d7b291f1297/US20080050347A1.pdf,google patents
US20140177930A1,Artificial Intelligence System for Genetic Analysis,"The present invention provides a complete artificial intelligence system for the acquisition and analysis of nucleic acid array hybridization information. The system is divided into at least one central data processing facility and one or more user facilities, linked by encrypted network connections or similar links. Each user facility may include an optical scanning system to collect hybridization signals from a nucleic acid array, an image processing system to convert the optical data into a set of hybridization parameters, a connection to a data network, and a user interface to display, manipulate, search, and analyze hybridization information. This system reads data from a gene chip or DNA microarray, or a proteomics chip, analyzes test results based on maintained parameters, evaluates patient risk for various ailments, recommends methods of treatment, presents information to medical and/or private individuals, and notifies test participants when new treatment becomes available. The test results may be used to perform individual diagnostics, longitudinal studies, population studies, or a wide variety of statistical analyses of patient data. The automated artificial intelligence system is a real time, dynamic decision making tool that can be used not only in conjunction with a clinical analysis system, but also with the information obtained in a research and development environment. Access to this system allows the user(s) to look at both clinical and non-clinical information. Most importantly, the system is intelligent and possesses the capability to interpret the information obtained. The system presents the information primarily via a secured encrypted Web interface, such as the Internet. The information is also presented in a retrievable format, such as electronic or paper format, using various computing technologies.",Simon S.M. Chin,2014-06-26,https://patentimages.storage.googleapis.com/5d/40/e3/18bcd7b2a9a78d/US20140177930A1.pdf,google patents
US20120084092A1,Method and apparatus for a comprehensive dynamic personal health record system,"We present a data-driven system that seamlessly integrates the compilation of a diverse set of patient electronic medical records, family history, and environmental risk factor databases, a program that determines correlations and assigns weights through a neural network between illness and the state of symptoms, a program to create disease-specific questionnaires and content, a program alert that informs users of trends and potential illness outbreaks due to anomalous changes in regional or national symptom trends, and a program that enables medical practitioners to view patient-generated records and manage an online referral system. The automated diagnoses and alerts allow users to make informed and rapid medical treatment decisions.",Tom Eliaz,2012-04-05,https://patentimages.storage.googleapis.com/d9/70/d6/fb530a66041f5a/US20120084092A1.pdf,google patents
US20150106123A1,Intelligent continuity of care information system and method,"An intelligent continuity of care information system comprises a repository of patient data including clinical and social information associated with a plurality of patients updated and received from a plurality of clinical and social service organizations and data sources, at least one predictive model using clinical and social factors derived from the patient data to extract both explicitly encoded information and implicit information about the patient's clinical and social information, and a user interface operable to present a selected view of the patient data and analysis associated with the at least one particular patient to a user via a computing device, each view being composed of a selected collection of a plurality of widgets each presenting a focused subset of patient data and analysis.",Connie V. Chan,2015-04-16,https://patentimages.storage.googleapis.com/69/de/f3/86234ce55564d3/US20150106123A1.pdf,google patents
CN110517238B,AI three-dimensional reconstruction and human-computer interaction visualization network system for CT medical image,"The invention relates to a CT medical image AI three-dimensional reconstruction and human-computer interaction visualization network system. The method comprises the steps that an AI server is responsible for segmentation of various anatomical organs of a CT image based on deep learning; the Web server can be used for uploading and downloading required files by the doctor client and the graphic workstation; the doctor client is used for uploading patient CT image data and downloading a corresponding STL three-dimensional model file; the graphic workstation is used for realizing interaction with the Web server and interactive medical image processing; and the data archiving system is used for storing and managing the original CT data and the generated STL model data, can realize the functions of quantitative evaluation including quantitative evaluation and course tracking quantitative evaluation after the operation of the patient, and can provide new training data for the AI server so as to update the AI model periodically. The invention can be effectively applied to disease course tracking, preoperative accurate simulation planning, intraoperative navigation, postoperative quantitative evaluation and follow-up visit, and provides a comprehensive image application solution for a modern integrated operating room.",,2019-11-29,https://patentimages.storage.googleapis.com/91/d6/db/a69485b2e71a55/CN110517238B.pdf,google patents
CN110192252A,For assessing development condition and providing the method and apparatus of coverage and Control for Dependability,"Methods and apparatus disclosed herein can assess the development condition of subject, and by the way that the case for being difficult to screening is isolated into the improved sensitivity and specificity that the uncertain present or absent classification to provide instruction development condition determines.Methods and apparatus disclosed herein can be configured to adjustable, to control the tradeoff between coverage and reliability, and adapt to different application environments, and can also be exclusively used in handling different population groups.",,2019-08-30,https://patentimages.storage.googleapis.com/de/92/d2/871bf9237baa1d/CN110192252A.pdf,google patents
CN111524611A,"Method, device and equipment for constructing infectious disease trend prediction model","The invention provides a method for constructing an infectious disease trend prediction model, an epidemic situation trend prediction method, a device, electronic equipment and a computer readable storage medium; the method comprises the following steps: attenuating the basic infection number of the infectious diseases according to the transmission time to obtain effective infection numbers of a plurality of dates in the transmission period; determining fitting state data of a plurality of dates in one-to-one correspondence with effective infection numbers of the dates in a state conversion relation included in the infectious disease trend prediction model; extracting fitting case data of a plurality of dates from the fitting state data of the plurality of dates; and updating parameters of the infectious disease trend prediction model according to the difference between the real case data of the plurality of dates and the fitting case data of the plurality of dates, and taking the updated parameters as parameters used for predicting the epidemic situation trend of the infectious disease based on the infectious disease trend prediction model. According to the epidemic situation trend prediction method and device, the infectious disease data can be combined to accurately model so as to support epidemic situation trend prediction based on the infectious disease trend prediction model.",,2020-08-11,https://patentimages.storage.googleapis.com/31/68/55/8c94e9b39464ec/CN111524611A.pdf,google patents
US20190371460A1,"Detection and Display of Respiratory Rate Variability, Mechanical Ventilation Machine Learning, and Double Booking of Clinic Slots, System, Method, and Computer Program Product","A noninvasive of detecting patient-ventilator asynchrony that is easily adaptable to existing ventilator monitoring systems and provides timely and actionable information on the degree of patient asynchrony both during invasive and non-invasive ventilation. Capture, analysis or display of, frequency spectra and the use of a measure of spectral organization, such as H1/DC, allows for both manual and automatic adjustment of a ventilators to prevent or correct patient-ventilator asynchrony via interventions. Embodiments use artificial intelligence or machine learning to predict interventions predicted to result in positive outcomes, based on analysis of a large number of epochs, captured by an electronic monitor of a mechanical ventilator, where the monitor continuously monitors, captures and transfers, epochs of data for aggregated machine learning analysis, of such epochs associated with positive outcomes. Scheduling processes that seek to overbook or double book to overcome negative effects of no shows, on clinician productivity in a medical setting.",,2019-12-05,https://patentimages.storage.googleapis.com/68/d3/d8/e2511ea0c50eaf/US20190371460A1.pdf,google patents
AU2021254546A1,Methods to diagnose and treat acute respiratory infections,"The present disclosure provides methods for determining the etiology of an acute respiratory infection 
in a subject and methods of treating the subject based on the determination, as well as systems useful 
for performing the determination using a biological sample from the subject.",Geoffrey S. Ginsburg,2021-11-18,https://patentimages.storage.googleapis.com/7f/3f/33/b85b219f9c441b/AU2021254546A1.pdf,google patents
CN112204620A,Image enhancement using generative countermeasure networks,Techniques are provided for generating enhanced Cone Beam Computed Tomography (CBCT) images using a trained model. A CBCT image of the subject is received. A composite computed tomography (sCT) image corresponding to the CBCT image is generated using the generative model. The generative model is trained in a generative confrontation network (GAN). The generative model is also trained to: the CBCT image is processed as input and the sCT image is provided as output. The sCT image is presented for medical analysis of a subject.,,2021-01-08,https://patentimages.storage.googleapis.com/8b/e6/57/64a615aee8ccf7/CN112204620A.pdf,google patents
WO2020139861A1,Constructing a knowledge graph employing multiple subgraphs and a linking layer including multiple linking nodes,"A graph-based data storage and retrieval system in which multiple subgraphs representing respective datasets in different namespaces are interconnected via a linking or ""canonical"" layer. Respective datasets represented by subgraphs in different namespaces may pertain to a particular information domain, and may include heterogeneous datasets. The canonical layer provides for a substantial reduction of graph complexity required to interconnect respective corresponding nodes in different subgraphs, which in turn offers distinct advantages as the number of subgraphs increases for the particular domain(s) of interest. Examples of such advantages include reductions in data storage and retrieval times, enhanced query/search efficacy and discovery of relationships in different parts of the system, enhanced ability to infer relationships in different parts of the system, and enhanced ability to train data models for natural language processing and other purposes based on information extracted from the system.",,2020-07-02,https://patentimages.storage.googleapis.com/30/9e/8a/41cd357a095b5a/WO2020139861A1.pdf,google patents
US20230309832A1,Presentation of patient information for cardiac shunting procedures,"Novel tools and techniques are provided for presenting patient information to a user. In some embodiments, a computer system may: receive device data associated with one or more devices configured to perform a cardiac shunting procedure to change a cardiac blood flow pattern to improve cardiac blood flow efficiency or cardiac pumping efficiency; receive one or more imaging data associated with one or more imaging devices configured to generate images of one or more internal portions of the patient; analyze the device data and the imaging data; map the device data and the imaging data to a multi-dimensional representation of the one or more internal portions of the patient; generate one or more image-based outputs based at least in part on the mapping; and present, using a user experience (“UX”) device, the generated one or more image-based outputs.",Randal C. Schulhauser,2023-10-05,https://patentimages.storage.googleapis.com/56/7d/10/e345272fe9fc22/US20230309832A1.pdf,google patents
US11107215B2,Medical image diagnosis assistant apparatus and method for generating evaluation scores for plurality of medical image diagnosis algorithms,"Disclosed are a medical image diagnosis assistant apparatus and method. The diagnosis assistant apparatus includes a computing system includes a processor. The computing system stores a plurality of medical image diagnosis algorithms each having the diagnostic function of a medical image in memory or a database. The processor extracts a diagnosis requirement for a medical image by analyzing the medical image, selects a plurality of diagnosis application algorithms based on the diagnosis requirement to analyze the medical image from among the plurality of medical image diagnosis algorithms, stores a plurality of diagnosis results for the medical image associated with each of the plurality of diagnosis application algorithms in the memory or database inside the computing system, and generates evaluation scores for the plurality of medical image diagnosis algorithms.",,2020-06-25,https://patentimages.storage.googleapis.com/23/23/15/c3cd6725c96426/US11107215.pdf,google patents
US20200367853A1,Apparatus for ai-based automatic ultrasound diagnosis of liver steatosis and remote medical diagnosis method using the same,"Disclosed herein are an apparatus for AI-based automatic ultrasound diagnosis of liver steatosis and a remote medical diagnosis method using the same applied in the field of ultrasound image processing. The apparatus for AI-based automatic ultrasound diagnosis of liver steatosis can automatically determine a grade of liver steatosis, which is difficult to determine visually, through extraction from an image acquired by imaging medical examination using a deep learning trained artificial neural network.",,2020-11-26,https://patentimages.storage.googleapis.com/fa/05/c8/3c4eccadfc1a51/US20200367853A1.pdf,google patents
US9084423B2,Inhibition of bacterial biofilms with imidazole derivatives,"Disclosure is provided for imidazole derivative compounds that prevent, remove and/or inhibit the formation of biofilms, compositions comprising these compounds, devices comprising these compounds, and methods of using the same.",John Cavanagh,2014-05-08,https://patentimages.storage.googleapis.com/92/c5/72/43b0e8a663ccde/US9084423.pdf,google patents
CN104364264B,Dog source anti-ngf antibodies and its method,"The present invention provides novel dog source anti-ngf antibodies (such as the anti-NGF antagonistic antibodies of dog sourceization and antigen-binding proteins) and encode its polynucleotide.Invention further provides the purposes of the antibody or antigen-binding proteins and/or nucleotide in treating and/or preventing NGF associated diseases, particularly pain.",,2015-02-18,https://patentimages.storage.googleapis.com/c6/a3/03/d0d8053d0b8e7c/CN104364264B.pdf,google patents
US20080077430A1,Systems and methods for improving medication adherence,"The invention relates to simple yet effective systems and methods for inducing patients to take their medications, without the need for outside prompting, and without the need for electronic medication dispensers. Instead, the new systems and methods use simple medication dispensers with unique markings to motivate the patients to take their medications based on voluntary actions to obtain a reward, e.g., an intermittent reward. In addition, the new systems and methods allow the collection of user data, all volunteered by the users.",Murat V. Kalayoglu,2008-03-27,https://patentimages.storage.googleapis.com/77/7a/93/b3442398e5c047/US20080077430A1.pdf,google patents
CN109313940A,The virtual assessment in medical device implantation path,"Propose the system virtually assessed and technology for medical device implantation path.System can analyze the multi-dimensional medical imaging data about patient body and lesion region, the set of paths for reaching lesion region is generated for disposing medical device, the set of paths for reaching lesion region is ranked up, and recommends the subset for disposing the path of the medical device.The system can also generate the display to recommendation and visualize to the multidimensional of the subsets of paths for disposing the medical device of recommendation.",,2019-02-05,https://patentimages.storage.googleapis.com/35/d2/d5/47ab71249c8200/CN109313940A.pdf,google patents
US20210327303A1,System and method for augmented reality guidance for use of equipment systems,Augmented reality (AR) guidance systems providing procedure instruction data to a user using an equipment system to perform a procedure. Methods for use of the AR guidance systems.,Craig S. Russell,2021-10-21,https://patentimages.storage.googleapis.com/e3/61/24/609eaae1f58a14/US20210327303A1.pdf,google patents
KR20200023931A,A method and system for providing of health care service using block-chain,"Provided are a healthcare service providing method using a blockchain and a system thereof. According to an embodiment of the present invention, the healthcare service providing method includes the following steps of: (a) transmitting a health record stored in a health record storage module (120) of a user terminal (100) to a main terminal (200); (b) enabling an artificial intelligence prescription operation module (250) of the main terminal (200) to operate a prescription corresponding to the transmitted health record in accordance with a predetermined method; (c) outputting the prescription operated by the artificial intelligence prescription operation module (250) to a service providing terminal (300); (d) enabling a token transmission module (160) of the user terminal (100) to transmit a token transmission command to the main terminal (200) based on whether a first activation module (140) of the user terminal (100) is activated and whether a second activation module (330) of the service providing terminal (300) is activated; and (e) enabling a token transmission module (270) of the main terminal (200) to transmit a predetermined amount of tokens to the service providing terminal (300) in accordance with the token transmission command. The first activation module (140) and the second activation module (330) can be activated based on the prescription operated in the step (c). Therefore, the present invention is capable of enabling a patient or ordinary person to receive optimal service.",,2020-03-06,https://patentimages.storage.googleapis.com/96/39/8a/a2d25c6eec57fe/KR20200023931A.pdf,google patents
KR20190060606A,Apparatus and method for diagnosis of medical image,"According to various embodiments of the present invention, provided is an apparatus for diagnosis of a medical image, which comprises: a display unit for displaying a medical image; at least one processor electrically connected with the display; and a memory electrically connected with the at least one processor. The memory, when executed, allows the processor to: acquire a medical image in which the inner parts of the body is photographed; convert at least a part of space domain values of the acquired medical image into frequency region values; acquire a degree of lesion of the at least a part of the medical image by applying the converted frequency domain values to a learning network model learned by using an artificial intelligence algorithm; and store instructions set for information indicating the acquired degree of lesion to be on the display, wherein the learning network model may be learned using the frequency domain values of each of the plurality of medical images and the degree of lesion of each of the plurality of medical images. According to the present invention, the apparatus for diagnosis of a medical image is capable of analyzing a medical image, in which a patient is photographed, using artificial intelligence technology and displaying an analysis result.",,2019-06-03,https://patentimages.storage.googleapis.com/46/46/8a/a58ab36f875e7b/KR20190060606A.pdf,google patents
US9339188B2,"Methods from monitoring health, wellness and fitness with feedback","A method is provided for obtaining monitored information about an individual to create life activity data. Individual information is detected or measured. The individual information is selected from of at least one of, an individual's activities, behaviors and habit information, and an individual's health. A monitoring device is used to detect or measure the individual information. The monitoring device includes ID circuitry with an ID storage that contains a unique individual ID, a communication system which reads and transmits the unique individual ID from the ID storage, a power source and a pathway system. The individual information is received from the monitoring device at a telemetry system that includes a database. The individual information is analyzed using life activity data with one or more analysis tools at the telemetry system. Life activity data is created for the individual.",,2014-09-04,https://patentimages.storage.googleapis.com/70/d9/2b/866b2cf0c979b1/US9339188.pdf,google patents
KR102024722B1,System and Method for Marketing Online To Offline based on Artificial Intelligence Recommendation,"The present invention relates to a system and a method for online-to-offline (O2O) marketing using artificial intelligence recommendation which increase efficiency of customer convenience and marketing management by product recommendation using orderer sensibility information and registration gene information by SNS message analysis for O2O marketing. The system for online-to-offline (O2O) marketing using artificial intelligence recommendation comprises: a user terminal which has an application for an O2O marketing service loaded therein, performs input of information for use of the O2O marketing service, provision of SNS data for sensibility analysis, and provision of gene information, and performs order reservation and payment by recommendation information received via an O2O marketing management server; an O2O marketing management server to manage and provide the application for the O2O marketing service, store customer and member store information, perform artificial intelligence analysis and recommendation based on member use history management, gene information analysis, and message analysis, and perform order processing and payment; and a member store terminal which has the application for the O2O marketing service loaded therein, performs input of information for use of the O2O marketing service, verification of order reservations received via the user terminal, and delivery management, and performs payment processing.",,2019-11-04,https://patentimages.storage.googleapis.com/8e/93/f3/6358396a8408b3/KR102024722B1.pdf,google patents
US20220358410A1,Methods and systems for medical record searching with transmittable machine learning,"An artificial intelligence platform system includes at least a server designed and configured to receive training data. Receiving training data includes receiving a first training set including a plurality of first data entries, each first data entry of the plurality of first data entries including at least an element of user data and at least a correlated first constitutional label. At least a server receives at least a user input datum from a user client device. At least a server generates at least an output as a function of the at least a user input datum and the training data. At least a server retrieves at least a stored user datum as a function of the at least a user input datum and the at least an output. At least a server transmits the at least a stored user datum to a user client device.",,2022-11-10,https://patentimages.storage.googleapis.com/ea/b8/ce/a82bc4b5c9bced/US20220358410A1.pdf,google patents
EP3727134A1,"Apparatus, system, and method for health and medical sensing","Methods and devices provide physiological movement detection, such as breathing, cardiac and/or gross body motion, with active sound generation using electronic processing device(s). The processor may control producing, via a speaker coupled to the processor, a sound signal in a user's vicinity. The processor may control sensing, via a microphone coupled to the processor, a reflected sound signal. This reflected sound signal is a reflection of the sound signal from the vicinity or user. The processor may process the reflected sound, such as by a demodulation technique. The sound signal may be produced as a dual tone frequency modulation continuous wave signal. Evaluation of detected movement information may determine sleep states or scoring, fatigue indications, subject recognition, chronic disease monitoring/ prediction, and other output parameters.",,2020-10-28,,google patents
CN109641838A,CXCR4 inhibitor and application thereof,"The present invention provides compound, its composition and use the method for the compound and the composition.",,2019-04-16,https://patentimages.storage.googleapis.com/18/fc/86/6a4918394b5bae/CN109641838A.pdf,google patents
WO2019164064A1,"System for interpreting medical image through generation of refined artificial intelligence reinforcement learning data, and method therefor","The present invention relates to a system for interpreting a medical image through generation of refined artificial intelligence reinforcement learning data, and a method therefor, and to a system for interpreting a medical image through generation of refined artificial intelligence reinforcement learning data, and a method therefor, the system extracting reinforcement learning data for medical image interpretation from an interpretation text of a medical image interpretation expert so as to utilize same as artificial intelligence learning data, thereby decreasing the calculation costs and the complexity of medical image interpretation using artificial intelligence and improving the accuracy thereof.",,2019-08-29,https://patentimages.storage.googleapis.com/62/8a/45/19805bc03513da/WO2019164064A1.pdf,google patents
WO2019046854A9,"System, method, computer program product and apparatus for dynamic predictive monitoring in the critical health assessment and outcomes study/score/(chaos)","One or more time-varying signals (502, 504, 506, 510) from continuous monitoring of an individual or the individual's environment are processed in a non-linear fashion to develop signatures (552) for those signals to assess the individual's health. Qualitative data (508) such as individual, family, and/or health care provider reporting of activity or status, and lab data (512), may also be used. The system may compute an integrated likelihood of the individual experiencing an illness or condition, which is provided (560, 562) to the individual and/or a training or health-care provider for the individual, and updated on a time schedule, giving pre- symptomatic notice of illnesses and early identification of conditions. The system may also optimize a course of performance training and diet. Further, by incorporating treatment data, the invention may be used in forming a quality measure of the individual's care, health, function, risk of adverse or undesired event, and efficacy or lack thereof of medical treatments or other necessary interventions.",,2019-03-07,https://patentimages.storage.googleapis.com/6a/0d/a0/bd026e54ad408f/WO2019046854A9.pdf,google patents
US20220036550A1,"Artificial intelligence-based medical image processing method and medical device, and storage medium","The present disclosure provides an artificial intelligence-based (AI-based) medical image processing method performed by a computing device, and a non-transitory computer-readable storage medium. The AI-based medical image processing method includes: processing a medical image to generate an encoded intermediate image; processing the encoded intermediate image, to segment a first feature and generate a segmented intermediate image; processing the encoded intermediate image and the segmented intermediate image based on an attention mechanism, to generate a detected intermediate input image; and performing second feature detection on the detected intermediate input image, to determine whether an image region of the detected intermediate input image in which the first feature is located comprises a second feature.",Dong Wei,2022-02-03,https://patentimages.storage.googleapis.com/38/59/fc/4a220d43ed51e2/US20220036550A1.pdf,google patents
CN111369576B,"Training method of image segmentation model, image segmentation method, device and equipment","The application discloses a training method of an image segmentation model, an image segmentation method, an image segmentation device and image segmentation equipment, and belongs to the field of image segmentation. The method comprises the following steps: acquiring a sample image, wherein the sample image is an image with an annotation area; performing superpixel division on the sample image to obtain at least two superpixel areas; obtaining a hard label of the pixel according to whether the pixel in the sample image belongs to the labeling area; obtaining a soft label of the pixel according to the super-pixel area to which the pixel belongs and the hard label of the pixel, wherein the soft label is used for representing the pseudo probability that the pixel belongs to the labeling area; and training an image segmentation model according to the hard label of the pixel and the soft label of the pixel. The image segmentation model is trained by using the hard labels and the soft labels of the pixels, so that the trained image segmentation model can accurately segment the segmentation region in the input image, and meanwhile, the training efficiency of the image segmentation model is improved.",,2020-07-03,https://patentimages.storage.googleapis.com/f9/a1/f9/9914928710e9f4/CN111369576B.pdf,google patents
CN108198621B,Database data comprehensive diagnosis and treatment decision method based on neural network,"The invention provides a database data comprehensive diagnosis and treatment decision method based on a neural network, which uses a nasopharyngeal carcinoma database, wherein the nasopharyngeal carcinoma database comprises a large clinical database and a gene database; the clinical big database records first data formed by clinical alphanumeric information and second data extracted and identified according to clinical image information; the first data, the second data and/or the genetic data in the nasopharyngeal carcinoma database are accompanied by their temporal attributes; the method makes a diagnosis decision based on a fifth model with the support of data in the nasopharyngeal carcinoma database; the fifth model takes a plurality of the first data, the second data and the gene data as input and provides diagnosis and treatment decisions for the user based on the neural network. The invention can provide accurate intelligent diagnosis decision service based on artificial intelligence for users, and has wide application prospect.",,2018-06-22,https://patentimages.storage.googleapis.com/29/59/d5/170964ea92d899/CN108198621B.pdf,google patents
DK2453024T3,Genes and conduits that are differentially expressed in bipolar disorder and / or major depressive disorder,The present invention provides methods for diagnosing mental disorders. The invention also provides methods of identifying modulators of mental disorders as well as methods of using these modulators to treat patients suffering from mental disorders.,,2018-02-12,https://patentimages.storage.googleapis.com/e0/78/34/7bfc9cde810b10/DK2453024T3.pdf,google patents
US20120233003A1,Providing retail shopping assistance,"Systems, methods, and computer program products are provided for using real-time video analysis and AR or the like to assist the user of mobile devices with commerce activities. Through the use of real-time vision object recognition products, points of sale or other retail shopping objects can be recognized in the real-time video stream and can be matched to shopping assistance related information regarding the retail shopping object. The shopping assistance related information may be presented to the user of the mobile device in conjunction with display of the associated retail shopping object in a live video stream or presented audibly or otherwise non-visually. In some embodiments, the mobile device functions as a transaction device.",Erik Stephen Ross,2012-09-13,https://patentimages.storage.googleapis.com/87/4c/c7/508a73704b9aee/US20120233003A1.pdf,google patents
US9601104B2,Imbuing artificial intelligence systems with idiomatic traits,"Speech traits of an entity imbue an artificial intelligence system with idiomatic traits of persons from a particular category. Electronic units of speech are collected from an electronic stream of speech that is generated by a first entity. Tokens from the electronic stream of speech are identified, where each token identifies a particular electronic unit of speech from the electronic stream of speech, and where identification of the tokens is semantic-free. Nodes in a first speech graph are populated with the tokens to develop a first speech graph having a first shape. The first shape is matched to a second shape of a second speech graph from a second entity in a known category. The first entity is assigned to the known category, and synthetic speech generated by an artificial intelligence system is modified based on the first entity being assigned to the known category.",James R. Kozloski,2016-11-24,https://patentimages.storage.googleapis.com/c1/d9/ea/73d21286fe61ff/US9601104.pdf,google patents
CN109310677A,Tumor load is reduced by the way that CCR1 antagonist and PD-1 inhibitor or PD-L1 antagonist is administered in combination,"The present invention provides for mitigating the tumor load, tumour growth, tumour progression and/or the method for transfer that suffer from the subject of the entity tumor cancer such as triple negative breast cancer.This method includes PD-L1 inhibitor from the combination to subject with this need application therapeutically effective amount or PD-1 inhibitor and the small molecule chemokine receptor antagonist of blocking CCR1.",,2019-02-05,https://patentimages.storage.googleapis.com/11/68/3c/9e6efaea615a11/CN109310677A.pdf,google patents
CN109690554A,Method and system for the medical image segmentation based on artificial intelligence,"Disclose the method and system for the medical image segmentation based on artificial intelligence.In the method for the autonomous medical image segmentation based on artificial intelligence, the medical image of patient is received.Current segmentation context is automatically determined based on the medical image, and at least one partitioning algorithm is automatically selected from multiple partitioning algorithms based on the current segmentation context.The segmentation object anatomical structure in medical image is come by using at least one selected partitioning algorithm.",,2019-04-26,https://patentimages.storage.googleapis.com/97/16/77/e62eb946bd639b/CN109690554A.pdf,google patents
CN109872364A,"Image-region localization method, device, storage medium and medical image processing equipment","The embodiment of the present application discloses a kind of image-region localization method, device, storage medium and medical image processing equipment；Multiple two dimensional images of the available target site of the embodiment of the present application；Feature extraction is carried out to two dimensional image, obtains the global high-level characteristic and global low-level feature of two dimensional image；Feature sampling is carried out to global high-level characteristic and global low-level feature respectively, obtains local high-level characteristic and local low-level feature；Local high-level characteristic and local low-level feature are subjected to Fusion Features, feature after being merged；Zone location is carried out based on feature after fusion, obtains the location information that subject area is located in multiple two dimensional images.The program remains the entirety and minutia information of 3-D image well, meanwhile the consumption to computer resource can be reduced in two-dimentional layer face treatment 3-D image, thus, the accuracy and speed for improving positioning improve the subject area location efficiency based on 3-dimensional image.",,2019-06-11,https://patentimages.storage.googleapis.com/bb/ca/d8/77779679928ce3/CN109872364A.pdf,google patents
CN104765947B,A kind of potential drug adverse reaction data digging method towards big data,"A kind of potential drug adverse reaction data digging method towards big data, this method comprise the following steps：A, medicine adverse events are reported；B, the adverse drug events report to adverse drug events data set carries out data prediction；C, medicine name standardizes；D, adverse reaction known to filtering；E, calculation of relationship degree；F, relational degree taxis.The present invention is applied to the excacation of potential drug adverse reaction, is not limited to the species of medicine；The potential safety hazard of marketed drug can be effectively found, is had great importance to the general level of the health for lifting drug user.",,2015-07-08,https://patentimages.storage.googleapis.com/78/0d/83/1dafd6cbd227a0/CN104765947B.pdf,google patents
US11633102B2,Apparatus and method for providing improved health care,"A system for acquiring physiological data from a patient, the system comprising: a smartphone configured for wireless communication; an adapter for releasably mounting to the smartphone; a sensor module for releasably mounting to the adapter, the sensor module comprising at least one sensor for acquiring physiological data from the patient; and a software app running on the smartphone for (i) wirelessly controlling operation of the sensor module and wirelessly receiving the physiological data from the sensor module, and (ii) wirelessly communicating with a remote location.",,2020-01-30,https://patentimages.storage.googleapis.com/5a/09/6b/e537eee5b350e7/US11633102.pdf,google patents
WO2019052063A1,Medical image classification processing system and method based on artificial intelligence,"A medical image classification processing system and method based on artificial intelligence. The method comprises the steps of: acquiring medical image information from a medical image information library (S21); carrying out classification processing on the medical image information based on different parts of a human body (S22); establishing a medical evaluation model of various parts of the human body based on the classified medical image information (S23); carrying out training processing on the medical evaluation model of various parts of the human body (S24), and saving medical model parameters (S25); receiving a medical examination image of a patient from a medical image collection terminal (S26); recognizing an examination part from the medical examination image of the patient, and acquiring, according to the examination part, the corresponding medical model parameters from a storage unit (S27); and sending the medical examination image and the corresponding medical model parameters of the patient to a doctor's workstation (S28). The present invention can carry out feature classification on a medical image according to various parts of a human body and can train a medical model for a doctor to carry out medical examination reference, thereby facilitating an improvement in the efficiency and accuracy of a medical examination.",,2019-03-21,https://patentimages.storage.googleapis.com/0e/01/66/6585753aceb3d7/WO2019052063A1.pdf,google patents
US20160220198A1,"Mobile device that monitors an individuals activities, behaviors, habits or health parameters","A mobile device is provided that obtains monitored information about an individual. A display is coupled to a housing. A memory is coupled to a memory and one or more processing units (CPU's), a peripherals interface, a Network Systems circuitry and an input/output (I/O) subsystems. A system is included with one or more sensors that detects or measure an individual's activities.",,2016-08-04,https://patentimages.storage.googleapis.com/88/16/60/e653f3c43de718/US20160220198A1.pdf,google patents
