Title,Application Number,Applicant,Inventor,Abstract,Number element
ANTIMICROBIAL PEPTIDES FROM BOVINE NEUTROPHILS,C07K 14/47,Regents of the University of California,Selsted Michael E.,"The present invention provides a new family of cysteine-rich antimicrobial peptides isolated from bovine neutrophils herein named beta defensins. Thirteen structurally homologous peptides were purified to homogeneity from a granule-rich cytoplasmic fraction of purified blood neutrophils. These antimicrobial compounds are useful in human and veterinary medicine, and as agents in agricultural, food science, and industrial applications. -GOVT PAR This invention was made with Government support under Grant No. AI-22931, awarded by the National Institute of Health. The Government has certain rights in the invention.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN311237876&_cid=P12-LTRE0S-24981-13
ANTIMICROBIAL PEPTIDES ANTIBODIES AND NUCLEIC ACID MOLECULES FROM BOVINE NEUTROPHILS,C07H 17/00,The Regents of the University of California,Selsted Michael E.,"The present invention provides a new family of cysteine-rich antimicrobial peptides isolated from bovine neutrophils herein named beta defensins. Thirteen structurally homologous peptides were purified to homogeneity from a granule-rich cytoplasmic fraction of purified blood neutrophils. These antimicrobial compounds are useful in human and veterinary medicine, and as agents in agricultural, food science, and industrial applications. -GOVT PAR This invention was made with Government support under Grant No. AI-22931, awarded by the National Institute of Health. The Government has certain rights in the invention.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN311237876&_cid=P12-LTRE0S-24981-13
ARTICHOKE ALCOHOL EFFECT DISPELLING AND LIVER PROTECTING TABLET AND PREPARATION METHOD THEREOF,A61K 36/72,"AI KE DAO BIOLOGICAL TECHNOLOGY CO., LTD",XIAO LI'AN,"The invention discloses an artichoke alcohol effect dispelling and liver protecting tablet and a preparation method thereof. The alcohol effect dispelling and liver protecting tablet is prepared froman artichoke extract, a semen hoveniae extract, white hyacinth beans, radix puerariae, sorbitol, ascorbic acid, mannitol and magnesium stearate. The artichoke extract contains multiple functional ingredients such as cynarin, inulin and chlorogenic acid, and particularly, functional ingredients with cynarin substances as the core, so that the artichoke extract has good effects of protecting the liver, reducing blood lipid and the like. Auxiliary ingredients, including radix puerariae, the semen hoveniae and white hyacinth beans, have been enrolled in medicine and food lists by the Ministry of Health of China. Therefore, the product is common food as well as a healthcare medicine and has no side effects.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN311237876&_cid=P12-LTRE0S-24981-13
"INFORMATION PROCESSING SYSTEM, METHOD FOR PROCESSING INFORMATION, INFORMATION PROCESSOR, AND INFORMATION PROCESSING PROGRAM",G16H 20/00,UNI CHARM CORP,MIMURO AI,"PROBLEM TO BE SOLVED: To allow a user to effectively get to know the state of the user from the degree of health and the constitutional predisposition of the user.
SOLUTION: The information processing system of the present application includes: acquisition means for acquiring state information showing the physical and mental states of a user; specification means for specifying a health degree showing the degree of health of the user when the state information was obtained from the user and constitutional predisposition information showing the constitutional predisposition of the user in terms of the Chinese medicine on the basis of the state information acquired by the acquisition means; and output control means for outputting output information showing the degree of health and the constitutional predisposition information.
SELECTED DRAWING: Figure 1
COPYRIGHT: (C)2021,JPO&INPIT",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN311237876&_cid=P12-LTRE0S-24981-13
LITTLE CIGARETTE MOXIBUSTION INSTRUMENT OF DOMESTIC NAKED LIGHT,A61H 39/06,"LINXIANG GAOSHENG CHINESE MEDICINE CO., LTD.",HU HUANFU,"The utility model discloses a little cigarette moxibustion instrument of domestic naked light for the burning of control ai zhu. The utility model discloses an urceolus, inner tube, accuse oxygen ring, at least two firstly advance that oxygen hole, two at least seconds are advanced oxygen ring, smog filter paper, are gone up the ai zhu fixed network, time aizhu fixed network, paster and medical double -face gummed paper. The utility model discloses the tar and the flue gas that produce in the time of can eliminating most moxa -moxibustion, the utility model discloses break through traditionalrestriction, does not need the accurate acupuncture point of looking for, the utility model discloses be equipped with medical double -face gummed paper, easy operation is convenient, be convenient for go on a journey and carry, 1.1, but anytime and anywhere carries out the moxa -moxibustion, do not influence moxa -moxibustion person's health activity, the utility model discloses a combustion chamber's oxygen content can be controlled at any time to the rotatory accuse oxygen ring of control, even use few moxa goods also can the moxibustion treat for a long time the effectual moxa cost of having practiced thrift, the utility model discloses mesh in the time of can effectively reaching accurate accuse control by temperature change.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN311237876&_cid=P12-LTRE0S-24981-13
"ADDITIVE-FREE PSEUDO-GINSENG RADIX SALVIAE MILTIORRHIZAE HAW FLAKE, AND PREPARATION METHOD THEREOF",A61K 36/734,"WENSHAN HUAXIN PANAX NOTOGINSENG CO., LTD.",ZHAO AI,"The invention belongs to the field of traditional Chinese medicine tablet, and more specifically relates to an additive-free pseudo-ginseng radix salviae miltiorrhizae haw flake, and a preparation method thereof. The additive-free pseudo-ginseng radix salviae miltiorrhizae haw flake comprises pseudo-ginseng powder, radix salviae miltiorrhizae powder, and haw powder. The preparation method comprises following steps: A1, washing; A2, smashing; A3, mixing and granulation; A4, sieving; A5, baking; and A6, tabletting. According to the preparation method, conventional granulation and tabletting technology is adopted, no other accessory material is added, the preparation method is simple, is economical, and is high in efficiency, the obtained tablet is green and good for health; and in addition, the raw materials pseudo-ginseng powder, radix salviae miltiorrhizae powder, and haw powder are smashed, and then are subjected to tabletting, so that dispersion in human body is convenient to realize, leaching of effective components is easy to realize, and absorption is promoted.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
WOOD-PLASTIC FLOOR FOR BEDROOM,C08L 97/02,"ANHUI YINUO WOOD PLASTIC SHEET TECHNOLOGY CO., LTD.",AI HUA,"The invention discloses a wood-plastic floor for a bedroom. The wood-plastic floor is prepared from the following raw materials in parts by weight: 45-60 parts of wood powder, 25-35 parts of PVC powder, 18-28 parts of straw, 7-14 parts of magnet, 7-14 parts of chlorite schist, 3-9 parts of argil, 8-14 parts of methyl salicylate, 5-8 parts of phenolic resin, 5-8 parts of epoxy resin, 4-8 parts of dimethyl fumarate, 2-5 parts of dioctyl phthalate, 5-10 parts of polyacrylamide, 35-45 parts of high density polyethylene, 1-2 parts of camphor, 16-24 parts of ethyl polysorbate, 0.2-0.4 part of chestnut shell, 1-2 parts of snakegourd root, 0.1-0.3 part of orange peel, 0.1-0.2 part of prunella vulgaris, 0.1-0.3 part of shaddock peel, 0.1-0.15 part of lotus leaf, 0.1-0.15 part of loquat leaf and 0.1-0.15 part of pericarpium granati. The wood-plastic floor disclosed by the invention has the advantages of excellent mechanical properties, no floor cracking, rare expansion, no blistering, blister resistance, salting resistance, large loading capacity of unit area, small specific heat capacity and warmth in winter and cold in summer; moreover, with some traditional Chinese medicine components, the wood-plastic floor is beneficial to human health; and the wood-plastic floor disclosed by the invention is durable and rarely aged and very suitable for bedroom decoration.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
EXTRACTION METHOD OF BANANA PEEL CELL WATER AND APPLICATION OF OBTAINED BANANA PEEL CELL WATER,A61K 8/9794,"GUANGDONG HEJI BIO-TECH CO., LTD.",ZHANG WENYUN,"The invention discloses an extraction method of banana peel cell water. Banana peel is primarily extracted by a low-temperature-vacuum (reduced pressure) technology without adding any solvent to obtain a part of banana peel cell water and banana peel residues; a certain amount of cellulase and pectinase are into the primarily extracted banana peel cell water; then, the materials are poured back into the primarily extracted banana peel residues; then, extraction is performed by using a low-temperature-vacuum (reduced pressure) technology; and the banana peel cell water is obtained through collection. The banana peel cell water obtained by the method disclosed by the invention is colorless, clear and transparent, is rich in more than 20 kinds of volatile active ingredients, has sweet, fragrant and soft smell and high safety, achieves a certain moisturizing effect, has high utilization value and can be applied to the fields of food, health-care products, medicine, cosmetics and the like.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
CONSISTENT DATA-DRIVEN DECISION-MAKING SYSTEM FOR TELE MEDICINE APPLICATIONS USING MULTITUDINAL AND MULTIMODAL DATA,G16H 20/00,"Asmika, Boosarapu","Asmika, Boosarapu","Intelligence (AI) based consistent data-driven decision-making system promotes the communication between the patient and doctor during an emergency. Medical care and treatment for the minor disorder are possible while unable to attend a healthcare facility directly. Preventive healthcare is provided for the respective person that improves their health. Telemedicine applications are accessible from any place to provide the first-aid to the person under the guidance of a doctor. Thus, the decision making system is developed for telemedicine applications to provide treatment to a mass count based on consistent data. Multitudinal and multimodal data are effective in developing a decision-making system rather than a single data type. The A-based driven system automatically collects the data from the patients to make an effective decision to provide medicine and corresponding Nowadays, the scope for telemedicine applications is increased due to the adaptation of the mass population. Telemedicine applications promote doctor consultation in an online mode. This is more beneficial for an aged and disabled person as healthcare is provided using digital devices. Artificial treatment to the patients. This invention is intended for the development of the decision-making system based on multitudinal and multimodal data for telemedicine applications. The proposed system consists of AL-based Anomaly Detection (AD) in identifying the abnormal data and cross-correlation training and testing method include the regional collection of data. This invention is involved in the enhancement of healthcare via the Al-based wireless decision support system. CONSISTENT DATA-DRIVEN DECISION-MAKING SYSTEM FOR TELE MEDICINE APPLICATIONS USING MULTITUDINAL AND MULTIMODAL DATA Diagram ACTIVE LEARNING Figure 1: Decision-making based on the multitudinal and multimodal data. Figure 2: Feature included in the telemedicine healthcare technology.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
APPLICATION OF MANNASTINE IN REDUCING INTESTINAL INJURY CAUSED BY XELOX COMBINED TREATMENT SCHEME,A61K 31/7016,XIAMEN UNIVERSITY,LIU FANJIAN,"When a tumor is treated by an XELOX combined treatment scheme, extremely severe side effects, including colorectal and small intestine injury, are often accompanied, and mannastine can inhibit serious toxicological injury to the intestinal tract caused by the XELOX combined treatment scheme by acting on intestinal epithelial cells. The improved medicine mannastine can prolong the residence time in the intestinal tract and improve the absorption capacity of intestinal cells to the medicine, so that the medicine can play a better role when being used together with an XELOX combined treatment scheme. The mannastine can be applied to preparation of medicines, pharmaceutical compositions or health care products for reducing toxicological injury of XELOX combined treatment schemes, physical and mental injury of patients caused by chemotherapy can be relieved, the tumor treatment probability is increased, and the mannastine does not affect the tumor treatment effect of the XELOX combined treatment schemes, so that the mannastine has a good application prospect. A new hope is brought to the treatment of cancer patients.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
MULTI-LAYER CLASSIFICATION GARBAGE TRUCK FOR MEDICAL DISPENSING,A61G 12/00,"SUQIAN FIRST HOSPITAL (SUQIAN BRANCH, JIANGSU PROVINCE HOSPITAL)",CHEN YANJING,"The utility model discloses a multilayer classification garbage truck for medical dispensing. Operating platform, an open box body is arranged at the bottom of the operation table; the device is simple in structure, easy to operate and convenient to move; the open box body is divided into a first chamber, a second chamber and a third chamber through a partition plate and a partition plate A; drawers are respectively mounted in the first chamber and the second chamber; a drawer A is mounted in the third chamber; a movable partition plate B is mounted in the drawer A; medical workers can directly place the medical wastes generated in the medicine dispensing process according to types; manual classification is not needed during disposal; the medical waste can be directly drawn out and pouredout, the labor intensity of workers is greatly reduced, the problem that medical staff are easily scratched by medicine bottles and needle heads in the sorting process is avoided, and in addition, dueto the fact that the medical waste is directly closed after being placed into the drawer and the drawer A according to types, the situation that smell emitted by the medical waste easily flows out and affects the health of the medical staff can be effectively avoided.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
INTELLIGENT MEDICATION DELIVERY SYSTEMS AND METHODS,G06F 19/00,"COMPANION MEDICAL, INC.","SAINT, Sean","Systems, devices, and techniques are disclosed for administering and tracking medicine to patients and providing health management capabilities for patients and caregivers. In some aspects, a system includes an injection pen device including a dose setting mechanism, a dispensing mechanism, and an electronics unit to generate dose data associated with a dispensing event of a dose of the medicine dispensed from the injection pen device and time data associated with the dispensing event; a mobile device in wireless communication to receive and process the dose data; and a software application configured to determine a recommended dose based on health data and contextual data associated with a user of the injection pen device, the software application including a learning dose calculator module to adaptively calculate the recommended dose of the medicine based on time-relevant and circumstances-relevant data specific to the user of the injection pen device.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
PAINLESS ACUTE DISEASES SUCH AS CHOLERA AND SUNSTROKE MOXIBUSTION JAR THAT PUSHES AWAY OF CHILD,A61H 39/06,WANG HAILAN,WANG HAILAN,"The utility model belongs to traditional chinese medicine medical equipment, in particular to painless acute diseases such as cholera and sunstroke moxibustion jar that pushes away of child, through -hole (1 on the several is established to even distance on the lower body wall of moxibustion jar (1) 1 ), even apart from establishing through -hole (1 under the several below the body wall under moxibustion jar (1) 2 ), be equipped with below moxibustion jar (1) and loose along (1 5 ), is the department equipped with ai zhu cartridge hole (1 at the bottom surface center of moxibustion jar (1)3 ), in ai zhu cartridge hole (1 3 )Even apart from being equipped with several bottom surface through -hole (1 4 ), be equipped with screw rod (4) at moxibustion jar (1) on the inner wall of top,screw rod (4) are fixed with nut (3) and packing ring (2), cylindrical gauze (5) are equipped with in the periphery of screw rod (4), gauze (5) are fixed on screw rod (4) with butterfly nut (6), painless acute diseases such as cholera and sunstroke moxibustion jar that pushes away of child adopts purple sand -mud to make, purple sand -mud contains multiple mineral substance, flexibility is good, there is not the injury to child's skin, push away the acute diseases such as cholera and sunstroke in -process, it is warm to make child's skin, can promote child blood circulation fast, discharge child health focus, can adopt warm moxibustion, heat energy is massaged, the various forms of jar is walked to heat energy, the operation is thus simple, the effect is splendid.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
COMPOSITE PREPARATION OF RED RICE EXTRACT AND COENZYME Q10 AND PREPARATION METHOD THEREOF,A61K 47/44,"Shenyang Haotian Wanjia Pharmaceutical Technology Co., Ltd.",Dong Yingjie,"The invention provides a compound preparation of a red-yeast extract and coenzyme Q10 and a preparation method thereof, and relates to a compound preparation of the red-yeast extract and the coenzyme Q10 and the preparation method thereof for oral dosing, which are mainly used for preventing and treating cardiovascular diseases, and belong to the technical field of medicine and health-care products. The invention adopts the following technical proposal: ingredients of the compound preparation comprise the red-yeast extract and the coenzyme Q10, wherein weight portion of the red-yeast extract is between 5 and 30 portions; and weight portion of the coenzyme Q10 is between 1 and 5 portions. The preparation method comprises the following steps: taking each material according to the weight proportion; mixing the coenzyme Q10 with an oil phase substance; heating oil phase of mixture to a temperature of between 70 and 80 DEG C to dissolve the oil phase; placing the oil phase into aqueous phase to carry out high-speed shearing for 1 to 5 minutes; placing the oil phase in a high-pressure viscolizer to be circulated for 3 to 6 times at a pressure of between 30 and 100 megapascal; and carrying out spray drying to obtain the compound preparation.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
POLYPHENOL MULTI-ELEMENT CYCLODEXTRIN INCLUSION COMPOUND FOR REDUCING URIC ACID AND PREPARATION METHOD THEREOF,A61K 47/69,"LIAONING WANJIA PHARMACEUTICAL CO., LTD.",DONG YINGJIE,"The invention relates to a polyphenol multi-element cyclodextrin inclusion compound for reducing uric acid and a preparation method thereof, and belongs to the technical field of medicine and health care products. The polyphenol multi-element cyclodextrin inclusion compound is prepared from the following raw materials in parts by weight: 2 parts of quercetin, 0.5 to 2 parts of dihydromyricetin, 0.5 to 2 parts of pueraria flavone, 0.5 to 2 parts of tea polyphenol, 0.2 to 1 part of chrysanthemum flavone, 5 to 15 parts of beta-cyclodextrin and 10 to 15 parts of mannitol. The invention aims to provide the polyphenol multi-element cyclodextrin inclusion compound capable of reducing uric acid and the preparation method thereof, which is capable of reducing uric acid can well inhibit xanthine oxidase and promote uric acid excretion, has a good anti-inflammatory effect, and has relatively strong effects of reducing uric acid and resisting gout.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN207646534&_cid=P12-LTRE0S-24981-14
EXPERIMENT OPERATING TABLE FOR PATHOLOGY TEACHING,B01L 9/02,BIJIE MEDICAL COLLEGE(BIJIE HEALTH SCHOOL),ZHOU LING,"The utility model discloses an experiment operating table for pathology teaching. The experiment table structurally comprises an operation table top, a fixed groove plate, a movable baffle, a supporting frame, supporting legs, a storage box and an experiment cabinet body. According to the utility model, the operation table top is used as a teaching experiment table top for workers to move; in theprocess of adding the toxic liquid medicine, the operation is simple; the objective of the utility model is to improve operation safety of pathology teaching. The movable baffle is taken out of the empty layer of the fixed trough plate according to the required height; the fixed frame body is used as a mounting body; overhead parts formed on two sides of the horizontal stop lever form a guide groove; the supporting clamping block is held and a certain force is applied; and the embedded installation height is positioned through the metal protruding ends of the supporting clamping blocks, the protection height of the front wall plate of the operation table top is increased, harm caused by the fact that toxic liquid medicine is splashed out of the enclosure range can be effectively avoided, and good protection performance is achieved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
PREPARATION METHOD OF FRESH RHIZOMA POLYGONATI FREEZE-DRYING QUICK-RELEASE PREPARATION,A61K 9/19,"LIAONING WANJIA PHARMACEUTICAL CO., LTD.",DONG YINGJIE,"The invention discloses a preparation method of a fresh rhizoma polygonati freeze-drying quick-release preparation, and belongs to the technical field of medicine health-care products. The preparation method of the fresh rhizoma polygonati freeze-drying quick-release preparation comprises the following steps: slicing fresh rhizoma polygonati, chopping into granules, introducing liquid nitrogen for freezing, carrying out ultralow-temperature crushing, discharging, adding pure water of which the weight is 1-5 times that of the fresh rhizoma polygonati, uniformly stirring, packaging, filling into an ultrahigh-pressure equipment kettle, boosting, maintaining extraction for 10-15 minutes to obtain a rhizoma polygonati extracting solution, carrying out high-pressure homogenization to obtain rhizoma polygonati homogenized liquid, filling the rhizoma polygonati homogenized liquid into a freeze-drying bottle, putting the freeze-drying bottle into a freeze-drying machine, quickly freezing, vacuumizing, slowly raising the temperature of a plate layer from-40 DEG C to 25 DEG C, capping and packaging, thereby obtaining the fresh rhizoma polygonati freeze-drying quick-release preparation. The fresh rhizoma polygonati freeze-drying quick-release preparation prepared by the method has the characteristics of obvious skeleton structure shape, high disintegration speed, high bioavailability, small loss of nutritional ingredients, easiness in absorption by a human body, high absorption speed and less loss of rhizoma polygonati protein, polysaccharide and volatile oil ingredients.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
SELF-HEATING ESSENTIAL OIL STEAM EYESHADE CONVENIENT TO USE,A61F 9/04,JIANGXI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,HUANG XIAOYING,"The utility model provides a self-heating essential oil steam eyeshade convenient to use, which relates to the field of health care products and comprises an eyeshade outer layer cloth cover, the eyeshade outer layer cloth cover is symmetrically arranged into two eye sockets, elastic ear hooks are fixedly connected to two sides of the eyeshade outer layer cloth cover, and physiotherapy heating bags are embedded in the two eye sockets of the eyeshade outer layer cloth cover. Ear hanging holes are formed in the middles of the two elastic ear hangers, the physiotherapy heating bag comprises a non-woven fabric bag, a self-heating bag and an essential oil bag, a first placement groove and a second placement groove are formed in the physiotherapy heating bag, the self-heating bag is embedded in the first placement groove, and the essential oil bag is embedded in the second placement groove; according to the steam eyeshade, the cloth cover on the outer layer of the eyeshade adopts a humanized design, and the nose bridge opening is formed between the two eye sockets, so that when the eyeshade is used, the nose bridge can be prevented from being wholly wrapped, the eyeshade can be more tightly attached to the peripheries of the eye sockets, and the effect can be more obvious when the steam eyeshade is used.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
FEEDING BOTTLE,A61J 7/00,THE MATERNAL & CHILD HEALTH HOSPITAL OF GUANGXI ZHUANG AUTONOMOUS REGION,LONG XIANXIAN,"The utility model discloses a feeding bottle. The feeding bottle comprises a bottle body, a bottle cap, a nipple, a straw and a straw base. Wherein the bottle cap is arranged at the opening part of the bottle body; a fixing opening is formed in the bottle cap; the nipple is arranged at the bottle cap fixing opening; the straw base is arranged between the nipple and the bottle body. A straw is arranged on the straw seat; a partition plate is arranged in the bottle body; the partition plate is arranged along the center axis of the bottle body to divide an inner cavity of the bottle body into twocontaining cavities, two connector parts are arranged on the straw base to be connected with two straws respectively, the two straws are arranged in the two containing cavities of the bottle body respectively, a sealing strip is arranged on the straw base, and the sealing strip is tightly pressed on the partition plate in the installation state. The partition plate is arranged in the bottle bodyto divide the inner cavity of the bottle body into the two cavities, and the straws are arranged corresponding to the two cavities respectively, so that liquid medicine and sweet water can be placed in the two cavities respectively and enter the oral cavity after being sucked and mixed, and medicine feeding is facilitated.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
METHODS AND APPARATUS FOR DIAGNOSIS OF PROGRESSIVE KIDNEY FUNCTION DECLINE USING A MACHINE LEARNING MODEL,G16B 40/00,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"NADKARNI, Girish, N.","In some embodiments, a non-transitory processor-readable medium can store code to be executed by a processor of a first compute device. The code can include code to cause the processor to receive, from a second compute device remote from the first compute device, a trained machine learning model. The code can include code to cause the processor to receive biomarker data and HSD of a diabetic human subject. The biomarker data can indicate a level of at least one of the following biomarkers: sTNFR-1, sTNFR-2, KIM-1, and ratios to one another of any of the preceding. The HSD can include a metabolic factor, a health-related factor, or a demographic-related factor. The code can include code to cause the processor to execute the trained machine learning model to generate an indication of whether the diabetic human subject will experience a progressive decline in kidney function over a period of time.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
CLINICAL CUPPING JAR CAPABLE OF SENSING TEMPERATURE AND PRESSURE,A61M 1/08,SHAANXI UNIVERSITY OF CHINESE MEDICINE,LI NA,"The utility model belongs to the technical field of medical equipment. The utility model relates to cupping jars, in particular to a clinical cupping jar capable of sensing temperature and pressure. The glass jar comprises a glass jar body, an electric control box, a control processor and a loudspeaker, anti-skid convex lines are arranged on the outer wall of the glass tank body; an electric control box is arranged at the top of the glass tank body; a temperature sensor and a pressure sensor which extend into the inner cavity of the glass tank body are arranged at the bottom of the electric control box; a timing module is arranged in the electric control box; an indicating lamp is arranged at the top of the electric control box; a display screen is arranged on the front side wall of the electric control box; a control processor is arranged in the electric control box; according to the cupping device, the internal pressure of the cupping jar can be detected, an alarm is given out when the pressure is reduced, the cupping jar is prevented from falling and being broken when the internal pressure of the cupping jar is gradually reduced, meanwhile, the working time of the cupping jar can be timed, the alarm is given out through the loudspeaker after the working time is up, and the situation that the cupping process is too long and affects body health of patients is avoided.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
ADJUSTABLE MOXIBUSTION DEVICE FOR EXPERIMENTAL ANIMALS,A61H 39/06,SHAANXI UNIVERSITY OF CHINESE MEDICINE,ZHANG NING,"The invention relates to the technical field of health preserving devices, and discloses an adjustable moxibustion device for experimental animals. A device shell is hollow, a smoke outlet hole is formed in the upper end of the device shell, an inner clamping groove is formed in the upper end of the smoke outlet hole, a square clamping groove is formed in the inner clamping groove, and a clamping block groove is formed in the bottom of the square clamping groove; a sliding rail is arranged at the lower end of the device shell, a sliding groove is formed in the sliding rail, and the sliding groove is connected with a sliding ring in a sliding mode. According to the adjustable moxibustion device for the experimental animal, through matched connection among the round top, the cylindrical hollow part and the positioning plate, after the round top is pressed, air in the cylindrical hollow part moves upwards, the positioning plate is jacked up, air in the device is driven to float forwards, and therefore smoke generated by a moxa stick is driven to have forward power; therefore, after the smoke is blown out of the device, the forward distance is farther, the temperature is more appropriate, and the effect is better.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
DAHURIAN PATRINIA HERB EXTRACT WITH ANTI-ATHEROSCLEROSIS EFFECT,A61K 36/84,JIANGXI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,SU DAN,"The invention discloses an extract, an effective part and a monomer component which are extracted and prepared from dried whole herb of a patriniaceae plant and have a good anti-atherosclerosis (AS) effect. The pharmacological experiment researches show that the water, ethanol, petroleum ether, dichloromethane, ethyl acetate and n-butyl alcohol extracts significantly reduce artery plaque formationof AS model mice, reduce liver fat accumulation and improve cardiac function reduction and cardiac structure change caused by AS; the effect of the ethyl acetate extract is the best, and most of components contained in the ethyl acetate extract is not reported about related drug effects; the total saponins, the total flavonoids, the total organic acids and the active monomer components have a very good protection effect on HUVECs damaged by oxidative stress. The patriniaceae plant which is rich in source, low in price and edible as a wild vegetable is adopted as the raw material, the preparation method is simple and easy to implement, a wider AS treatment drug source is provided, and the patriniaceae plant has great social value and economic value and has important significance in developing efficient and safe new anti-AS drugs and health care products.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
FEED ADDITIVE FOR IMPROVING PRODUCTION PERFORMANCE OF SOWS AND APPLICATION OF FEED ADDITIVE,A23K 50/30,"NANCHANG AONONG BIOLOGICAL SCIENCE & TECHNOLOGY CO., LTD.",HOU LINBING,"The invention relates to a feed additive for improving production performance of sows and application of the feed additive. The feed additive comprises, in parts by weight, 8-12 parts of actinolite, 12-18 parts of motherwort, 10-15 parts of herba epimedii, 5-10 parts of Chinese wolfberry fruits, 5-10 parts of semen cuscutae, 8-12 parts of nutgrass galingale rhizomes, 5-10 parts of Chinese angelica, 8-13 parts of milkvetch roots, 3-7 parts of dried tangerine peel, 5-10 parts of Chinese yam and 5-10 parts of radix paeoniae alba. A use method comprises the following steps: the 11 raw materials are smashed and mixed in proportion, and then added in complete feed, and 100 grams of the feed additive is mixed with the feed for feeding one sow every day. The additive adopts a Chinese herbal medicine formula, and is directed at physiological characteristics and nutritional requirements of the sows, thereby having apparent effects of sow hysteritis reduction and sow heat promotion, also having a health-care effect on the sows, and being capable of improving the production performance of the sows; besides, the feed additive also has a green feed effect, therefore, drug resistance of animals and chemical drug residues in animal bodies are reduced.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
"COENZYME Q10, OCTACOSANOL AND CYCLODEXTRIN MULTI-ELEMENT SUPERMOLECULE CLATHRATE COMPOUND AND PREPARATION METHOD THEREOF",A61K 47/69,"LIAONING WANJIA MEDICAL TECHNOLOGY CO., LTD.",DONG YINGJIE,"The invention discloses a preparation method of a coenzyme Q10, octacosanol and cyclodextrin multi-element supermolecule clathrate compound, and belongs to the technical field of medicines and health-care products. The coenzyme Q10, octacosanol and cyclodextrin multi-element supermolecule clathrate compound has better treatment and health-care function on high blood fat and other cardiovascular diseases, mountainhypoxia, diabetes, and hypoimmunity, and is mainly prepared from the following raw materials in parts by weight: 1 part of coenzyme Q10, 0.1 to 1 part of octacosanol, and 3 to 15 partsof cyclodextrin. The coenzyme Q10, octacosanol and cyclodextrin multi-element supermolecule clathrate compound has the characteristics that the clathrate compound can be dispersed into water to forma nanostructure lipid carrier; the dissolvability is larger, the release degree is higher, and the stability is better; the medicine components can be continuously released; the clathrate compound canbe easily dispersed into water at nanometer level, the dissolving and absorbing surface area is expanded, and the physiological activity is higher than the physiological activity of the single two-element clathrate compound and two-component mixture.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN304841849&_cid=P12-LTRE0S-24981-15
